Job Title,Company,Location,Job Url
Junior Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfhXZLdKKEaSrE-A3kTViGcJyfCs_ENjKb6b0iXAiczDOOiYKMS_6JLjRuVBuQkm7hMyQzAhXZ1jIENr2mnKUMMNB9MmRGwoK9Fw9VaOyQApZfG958k0xZ-pI_U8vijJk7HHWeapl-CFFg5naM0SNGBTTkbyaaX6H6XUWB94UlWmDZB8ETcIqRIhpFgGOR3xiY2EEr4Z4Xkx8mVXTCmf6SGsvYEp0GxpY2w0T2Am0KI_h8hTgs6Z3-1vFvf7xGqwvGBQdaEnUJ1AsnG6zTt8Hut_BjAswJyak1gSC2dYUpv2IWIUIqRqScG5GZN--tmZGYPoXmkAsSkQuG7IxC2lNy3F8udbNZJqOqyqWlovL0hOrtbW3v0RQu0lJSegDcJyxShnnqS_R7dX68a3i7x6TEZ8odAre9x1hBzjDUcFHK5MUzXjVkHWyShyucs4Pav1mOrp1u5xovc3oU9DvfxwQe60xWiGSqmoEXzVKk9q05ZSIarpEo1fkWhSiFp77PKgwKDit0Sh2jzzWzjvCdjA77YJs_BWYpXIdJcqty9Fe_T_NNI9Qm2xQwsK_FdRsN4QqjxqFZeftpc3Mfq9IaZGfprlfhET8DKCYSroR9v1XCwvynjE_tJIn1zJftLWt-diO6_y0-1k18kC4oOR2shtHnD2TBT77FQ18G4-XX2w7V05OOiI8BF-8c7A28HlN7jcrD5_x_4lIdaGSc1BlqjptkUF4R-w4Ymp6v8AJiqDyeSxbo2ZD1cw18kOyKNIzfmqE9I8tBC94cB5NN3GxKD6NUb_Snca6aXGA0P2Vkb7bowveoJ-Do6DoSTJj67lUROpNL-ZyCV5qaI54JNBqaIgyTwXyVgKUFKxKuZrd7YSSwAg==&p=11&fvj=0&vjs=3
Python Engineer II - Collections,Flashpoint,New York State,https://www.indeed.com/rc/clk?jk=ab9a8b220669fc79&fccid=03aa2d9789aa80c5&vjs=3
"Administrator, On-Field Operations (Pace of Play and Operations) (Seasonal)",Major League Baseball,New York State,https://www.indeed.com/rc/clk?jk=10843a358c4c5e58&fccid=6262eae176df0db9&vjs=3
Python (Scala/Spark) Developer,Deloitte,"New York, NY",https://www.indeed.com/rc/clk?jk=e0c1d46db1e4c0f8&fccid=9e215d88a6b33622&vjs=3
Python Developer,Systemonex INC,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWDhERcgegtO3fQgQ6i1lKFLXqfs8lEm3nmlRKvZdoSOmcEpi6eRTO-dPxXMXK_bLJfB0mdH74lyan7FPkLG0nyn-IGtvU_7fsPnX_CNkm7Dr68KS75cPuHWBWvc-uk5d6aZXzcWOOljsXWltm_XCDo8UHn3syakNbh39sX7q2mRt5NRiLw47ichSEgTCVG1efoC0IJYZ2qHQ0s4HR7emawv0cFTgWZbEIxro1jxT3oDkOrn7_mxN5WHbKykrdjtPsZrlx0Nm3ZYnIBUbZntAsS_fRdp-94u5A_K5RM_0xRPh-01u-ywkqCHEJp9iHDL0AIFUYuVOr-nn_pHb1AYvHRLHputaztMnNwD7KmNoMpZ9x8AZpHZUR9OIbL9V8u8n0vfnhkRYsGMdIlVQaTPAyCKFfdodrGVCjLiK_m2P8G3zt8jiony6ytcrcTAKHv3Y=&p=0&fvj=1&vjs=3
Python (Scala/Spark) Developer,Deloitte,"New York, NY",https://www.indeed.com/rc/clk?jk=e0c1d46db1e4c0f8&fccid=9e215d88a6b33622&vjs=3
Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",https://www.indeed.com/rc/clk?jk=6dd414e5bf2653aa&fccid=5551312f0bfb4c11&vjs=3
Full-Stack Python Developer,stackbuilders,"New York, NY",https://www.indeed.com/rc/clk?jk=b4490fe245a1d8ed&fccid=21265900a5a2d4c3&vjs=3
AI Research Engineer,AlphaSense,New York State,https://www.indeed.com/rc/clk?jk=f8674c4fc89b6498&fccid=ef706d6bb1254bcf&vjs=3
Senior Level Python Developer,Naka Technologies,"New York, NY",https://www.indeed.com/rc/clk?jk=bfa41cad10426505&fccid=c85d08a88c59e378&vjs=3
"Python Developer Intern, Brokerage Operations | Summer 2021",Liquidnet,"New York, NY",https://www.indeed.com/company/Liquidnet/jobs/Python-Developer-Intern-493206860a97c708?fccid=e26eb001a7dc8340&vjs=3
Quantitative Behavioral Researcher,"JPMorgan Chase Bank, N.A.","New York, NY",https://www.indeed.com/rc/clk?jk=c855738c13f3f83c&fccid=aaf3b433897ea465&vjs=3
Python Developer,ION,"New York, NY",https://www.indeed.com/rc/clk?jk=b2e80047a98b4bc5&fccid=363d27976f5fa667&vjs=3
Software Engineer Intern,Wickr,"New York, NY",https://www.indeed.com/rc/clk?jk=38bbce4434707a66&fccid=40ba2dec99d8cb8f&vjs=3
2021 Software Engineer,Bloomberg,"New York, NY",https://www.indeed.com/rc/clk?jk=cf8aebd195601b2d&fccid=f770da67b3b51c62&vjs=3
Data Analytics/Programming Engineer,Aleron,New York State,https://www.indeed.com/rc/clk?jk=231ca8ee92d6d7bc&fccid=179ebf03d659aa60&vjs=3
Software Engineering High School Intern,LOCKHEED MARTIN CORPORATION,"Owego, NY",https://www.indeed.com/rc/clk?jk=bce7c722b1b8de78&fccid=aeb15e43a6800b9d&vjs=3
Client Strategy & Insights Analytical Lead,Indeed,"New York, NY",https://www.indeed.com/rc/clk?jk=3299067bdbad2474&fccid=d6ef41e202aa2c0b&vjs=3
"Software Engineer, 2021 Graduate",Atlassian,"New York, NY",https://www.indeed.com/rc/clk?jk=bc18bc362390bec4&fccid=e6d4ba9e2cfe7902&vjs=3
"Software Engineer, 2021 Graduate",Atlassian,"New York, NY",https://www.indeed.com/rc/clk?jk=bc18bc362390bec4&fccid=e6d4ba9e2cfe7902&vjs=3
Temp - Senior Python Developer,Xaxis,"New York, NY",https://www.indeed.com/rc/clk?jk=0d81a1d690bd22c7&fccid=3d73f189e746988f&vjs=3
Django - Python Developer,IBL Education,"New York, NY",https://www.indeed.com/company/IBL-Education/jobs/Django-b6dcc4c87dc0b034?fccid=fb6c5da7e6ad688a&vjs=3
Metadata Strategist,New York University,"New York, NY",https://www.indeed.com/rc/clk?jk=c1ce016c6a717716&fccid=8077183a161ef0fd&vjs=3
Junior Financial Software Engineer (NY),Beacon Platform Inc,"New York, NY",https://www.indeed.com/rc/clk?jk=372eb99fbacffe6d&fccid=070ddd31b887a3e9&vjs=3
Python Consultant,Accenture,"New York, NY",https://www.indeed.com/rc/clk?jk=8c9715c89337a534&fccid=a4e4e2eaf26690c9&vjs=3
Data Python Developer,London Stock Exchange Group,"New York, NY",https://www.indeed.com/rc/clk?jk=31661855134fd73a&fccid=1c2a61588e44123b&vjs=3
"Virtual Software Engineer Intern, Summer 2021",AT&T,"New York, NY",https://www.indeed.com/rc/clk?jk=2e08a68ecdb81810&fccid=25b5166547bbf543&vjs=3
"Sr. Java, Python Engineer","JPMorgan Chase Bank, N.A.","New York, NY",https://www.indeed.com/rc/clk?jk=b9b52b0fa6904b7a&fccid=aaf3b433897ea465&vjs=3
Python Data Engineer,"Take-Two Interactive Software, Inc.","New York, NY",https://www.indeed.com/rc/clk?jk=cfdc74fb468015ae&fccid=2dda8667d8de78d8&vjs=3
Data Engineer,The Talent state,"New York, NY",https://www.indeed.com/company/The-Talent-state-(Consultant)/jobs/Data-Engineer-36de60026f6b3d7b?fccid=0e445e55650c5a61&vjs=3
"Virtual Data Science Intern, Summer 2021",AT&T,"New York, NY",https://www.indeed.com/rc/clk?jk=b15a6ec31032bb3a&fccid=25b5166547bbf543&vjs=3
Signals Operations Specialist,Corning,"Corning, NY",https://www.indeed.com/rc/clk?jk=cb96180664e70823&fccid=31bebfb78bc1f0f1&vjs=3
DevOps Engineers,StackOverdrive.io,"New York, NY",https://www.indeed.com/rc/clk?jk=1c40a9d11fb580d0&fccid=47832ebe832452f9&vjs=3
Data Scientist - Propositions and Partnerships,Spotify,"New York, NY",https://www.indeed.com/rc/clk?jk=f7239e33317f5a5a&fccid=fe404d18bb9eef1e&vjs=3
DevOps Engineers,StackOverdrive.io,"New York, NY",https://www.indeed.com/rc/clk?jk=1c40a9d11fb580d0&fccid=47832ebe832452f9&vjs=3
Data Scientist - Propositions and Partnerships,Spotify,"New York, NY",https://www.indeed.com/rc/clk?jk=f7239e33317f5a5a&fccid=fe404d18bb9eef1e&vjs=3
Penetration Testing Trainee (Remote USA),BreachLock,"Florida, NY",https://www.indeed.com/rc/clk?jk=487b30db63184515&fccid=bf0600f0f252b45b&vjs=3
"Data Operations Analyst, BritBox",BBC,"New York, NY",https://www.indeed.com/rc/clk?jk=985ec5363e6daeff&fccid=40bdb3ff12c06472&vjs=3
Python Developer,Plenium Corporation,"Manhattan, NY",https://www.indeed.com/company/Plenium-Corporation/jobs/Python-Developer-a550d835f9e44cc2?fccid=06656416a8e24be8&vjs=3
Python Software Engineer,TapRecruit,New York State,https://www.indeed.com/rc/clk?jk=1128a3c927663b77&fccid=51cf30577cbc9b4d&vjs=3
New Rochelle Python Tutor Jobs,Varsity Tutors,"New Rochelle, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5wjuZWSeVvQT7zXA4iw8YG3mdAeM_qWfWp4vwWLHpH3MRyueADnbJgc5_ey3lib-8SGqkCnoKZAWYTsSZHivoZbk9ce3xl0HVOmd7ur3PK1daon_PIdxCbSaER9cltL4dxTqIxiE-tpfE-g00M3oEKWjroJdwJjxCTeths1QyBOZK9zpp6GMtKfAUfpHhsaWaR-PLd9stqB92FirvsH-nAmDlsB7Si3YQFOssWS0hv_2OmKS0r6xp5C4cgqqEQqOFPxYLOxsbadpETsEk5wtcJWUTngrBAioL7wKqACkpzruOIC_LZklG90CvLm87Bg_l0JPmfzxBtLfWv7PGdnPmKCbyBrH2P9mN-euAr4lGpRXO-yuBcncRk-VPRYrjLP9q1yH0TWaR569Adj5C4be8zyopd3EWBgcrS6Y7uh6PvteiIyp4wgg4M2BP0lQkydUZCXLUJc61YDE2a9wGdHrLmTgCCesY0NZj-baedfTAWlcBNxSYcZOSdCSRXA60TXPktSIinGR3-RnHiKCtxHwuUUM4ZHbF478hoD6dtib47p4zWuOWeLtiXzKErU518OzmjC-2n59c6u78TdXzaK5pjhahC2b-toS2zxJxAKVWDEjEB5GzjZWZ2RLsS2rlRCULc2aInkZASdTPDeGUPzs3pqA1CLU8Yb3XeIXPt6o-6BIrK078nfu9xcILs84mud_Obx1cFJQbrXkU1cQODLl12DUYcvoG4zRSqmp5weqcnmWwbQm6OgZyq7xUnRfoCJLrec3aB56CdJ9aIyQ6-BjCHZLIGcEZVglNAsLSsIonnRLNE3LggJbPFF5v1ecvdzK4lsIsh3uqR4yQrzu9U_UZk-ifzvCCIx4QjrSCE8AC2h1jupM_phsiqNp6f-BWgGyrw-jjZYBHcUT2fOgp1Yu6_tPS_KF26t1RJqHXiK80dRnTJGJgcg0i0hkvBDBF9SZRJvQNlo4O42A15BgZDcX-3bbGkP_4T2thwd4WVQllS5RAEt5hPH8iML4kRElLLXQ7MRywX62Mp0faqfGcrc-qZ2-AOXiuqTajxC5XbsYwUsFDVOxnqqgHFnSJsfisRrPLnlgtgDgsMF28gTJpLjJWZDFi4-YNPA-IS-WVjKsGfLsiTwMw_Akt&p=6&fvj=0&vjs=3
Digital Assets Strategy Associate,Fundstrat Global Advisors,"New York, NY",https://www.indeed.com/company/Fundstrat-Global-Advisors/jobs/Digital-Asset-Strategy-Associate-427624e54dd49596?fccid=62b70f6f480e96e5&vjs=3
QA Selenium Tester,Cquest,"New York, NY",https://www.indeed.com/company/Cquest/jobs/QA-Selenium-Tester-aa872fa88fa31390?fccid=26bbb922067dd1da&vjs=3
Python Engineer,iknowvate technologies,"New York, NY",https://www.indeed.com/rc/clk?jk=88d41b4bb4a9cf00&fccid=9ace5aa4e4fa6ce2&vjs=3
Test Engineer,Northwestern Mutual,"New York, NY",https://www.indeed.com/rc/clk?jk=c1dd017349af56e3&fccid=f2cbb7715eae48aa&vjs=3
Quantitative Analyst,Franklin Infotech,"New York, NY",https://www.indeed.com/company/Franklin-Infotech-Inc/jobs/Quantitative-Analyst-8606be316b57ec08?fccid=5a59c5f1a1983644&vjs=3
Data Analyst (3-5),Function of Beauty,"New York, NY",https://www.indeed.com/rc/clk?jk=721e86e5b1f19ede&fccid=068406d6c4205250&vjs=3
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",https://www.indeed.com/rc/clk?jk=da727c0cddda240e&fccid=56a26d4c816e53d1&vjs=3
Associate Data Scientist- Ad Studio,Spotify,"New York, NY",https://www.indeed.com/rc/clk?jk=8c4d782ed5ef1ff9&fccid=fe404d18bb9eef1e&vjs=3
Data Analyst (3-5),Function of Beauty,"New York, NY",https://www.indeed.com/rc/clk?jk=721e86e5b1f19ede&fccid=068406d6c4205250&vjs=3
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",https://www.indeed.com/rc/clk?jk=da727c0cddda240e&fccid=56a26d4c816e53d1&vjs=3
Associate Data Scientist- Ad Studio,Spotify,"New York, NY",https://www.indeed.com/rc/clk?jk=8c4d782ed5ef1ff9&fccid=fe404d18bb9eef1e&vjs=3
IT Programmer,Day & Nite All Service,"New Hyde Park, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLkPxETQsj4zvU-QwF4kkFN1QPemWMOXWezkWx_PVlU1D6cHkDa3QInroUejnW1pAholtxj3-MdiAJHWPIsyi0BNg1TqEFNC496WPeFqkMP4ptwIPHUrjt3HxZhEVwnoo63y-iODJ_GQYZUMreWiZja6kP7dE61LM1gEKDX47CgiOuLk3n5oSUjObOCuvrbaum-SUokCO0ous8e8bmxhzYPPu_v4fO6sM2tKQ3nmvWWGBeSdyZ8I8BGGpNp2LKEmlsi_3V5Df2warAJ8lz2VkyWf4QnIASQkj02OezmxnrTT4vyYDGZKE7RGU1IsS0Q9G5vOAd2Szv4UVBiq92pB2_MSIpwc45S9if4s3sUySZ4gcnIrHZmKzKctUm3kwIJIj9KSKK6pePLpsRrtxJICZzSeT1TC5-kpbnnCSLvZZmSCDPOHgXcwJk&p=3&fvj=1&vjs=3
"Analyst, Business Intelligence & Accountability",IPG Mediabrands,"New York, NY",https://www.indeed.com/rc/clk?jk=bd37038d86850f6f&fccid=bcc67c9d86a19ca1&vjs=3
Algo Software Engineer (C++/Python),Hudson River Trading,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApzxvIc50HcKj8BAybGugjBuKrONKyeCp_AR1ox5bF72DwDsD9iEnpPVATIb1d44LXYfufXNpoyhqiUZkSN_Z9iRpVJlqhF0wP1I8-fj5C-gHDWqXwVnnlC25PMfbXSW9LoRFZK9WRmezPHzMrZdmii98r32W4EYzugY2zN2Kr9y1kRhFJa8x2nFuWzSCwEOI6568K0baokEclaTvP5D8-Gb5XO6bz_FNrPHQ45AbJAZloB2bszGakF8wxWlcSUua7zLwnLjfBlQCmEneYy8-tESQ8i1FdX2TtLBU1QT7lTImXn4xU-LQTvD4ysU02cx7ylCN1NpY5e0s0y40Ix5Z0LKlS8SZbY_Dd0LWVX05L28uAel-Kpg5b&p=5&fvj=0&vjs=3
"Data Analyst - Environmental, Social, and Governance",Bloomberg,"New York, NY",https://www.indeed.com/rc/clk?jk=104ce031ff4ab4f8&fccid=f770da67b3b51c62&vjs=3
Quantitative Analyst,The Future Today Institute,"New York, NY",https://www.indeed.com/rc/clk?jk=4ef60c95c41b3979&fccid=1cb425304eca3ea9&vjs=3
"Econometric Data Scientist, International",Warner Music Group,"New York, NY",https://www.indeed.com/rc/clk?jk=f014c2fb5ec168c7&fccid=5c9de1aedf73e3b6&vjs=3
Bioinformation Software Engrineer I (005167),Memorial Sloan-Kettering Cancer Center,"New York, NY",https://www.indeed.com/rc/clk?jk=f38a08e2db8cf090&fccid=1320c50b75f44505&vjs=3
Software Engineer Intern,PayPal,"New York, NY",https://www.indeed.com/rc/clk?jk=e01674d33559a721&fccid=978d9fd9799d55a8&vjs=3
BI Analyst (Remote),Spine Media,"New York, NY",https://www.indeed.com/rc/clk?jk=0d39f5528591bfbe&fccid=3d019daff3ae036c&vjs=3
Quantitative Researcher,Facebook,"New York, NY",https://www.indeed.com/rc/clk?jk=048dbb239ba1885c&fccid=1639254ea84748b5&vjs=3
Software Engineers & Web Developers,1DocWay,"New York, NY",https://www.indeed.com/rc/clk?jk=597b9830f39b5420&fccid=bc8bf69154b5fc28&vjs=3
Junior Developer,"Horizon Media, Inc.","New York, NY",https://www.indeed.com/rc/clk?jk=28ad92ab5c100848&fccid=f2c8db2d75b00437&vjs=3
Summer 2021 Internship: Artificial Intelligence and Machine Learning,The Motley Fool,"New York, NY",https://www.indeed.com/rc/clk?jk=0d06d2f86c7a15ba&fccid=62d0bf8f2d130eaa&vjs=3
Full Stack Developer (PHP and/or Python development)-Remote,Bryant Staffing Solutions,"New York, NY",https://www.indeed.com/rc/clk?jk=afd3923edca77245&fccid=eba24f86634b7a6f&vjs=3
Data Analyst,DaisyBill,"New York, NY",https://www.indeed.com/rc/clk?jk=a0a7b3079a77ceb8&fccid=7ddc0b06c6d4193b&vjs=3
US REITs Associate,Cohen & Steers,"New York, NY",https://www.indeed.com/rc/clk?jk=2a251944403e6a90&fccid=394b355ce57e310b&vjs=3
Backend Software Engineer (Python),Axomic,"New York, NY",https://www.indeed.com/rc/clk?jk=51c524f58def0dc6&fccid=c4eb2c7419809f9c&vjs=3
Fraud Investigations Analyst,"Amazon Web Services, Inc.","New York, NY",https://www.indeed.com/rc/clk?jk=9a2d0e94dc25d029&fccid=fe2d21eef233e94a&vjs=3
2021 Internships,Rosenblatt Securities,"New York, NY",https://www.indeed.com/rc/clk?jk=5d6843f2339bb52d&fccid=00ae4e776f21bc2f&vjs=3
INTERN – RIGGING,Psyop,"New York, NY",https://www.indeed.com/rc/clk?jk=499018baad73572b&fccid=ce4631aa25c33124&vjs=3
QA Engineer,Cquest,"Manhattan, NY",https://www.indeed.com/company/Cquest/jobs/QA-Engineer-def3e16780668050?fccid=26bbb922067dd1da&vjs=3
Software Engineer (New Graduate Summer 2021),Teachable,"New York, NY",https://www.indeed.com/rc/clk?jk=653913a350bc087f&fccid=7c07af204e67482c&vjs=3
Investment Data Analyst,Balyasny,"New York, NY",https://www.indeed.com/rc/clk?jk=79c05cc9f6417763&fccid=3187d6d05b329ebf&vjs=3
Senior Python Engineer,Deephaven Data Labs,"New York, NY",https://www.indeed.com/rc/clk?jk=efff1413f6efa369&fccid=4af6ff4c880503b2&vjs=3
"Data Reporting Engineer, Spotlight",Flatiron Health,"New York, NY",https://www.indeed.com/rc/clk?jk=9dc0700a728a46d2&fccid=966804bce9d82eb0&vjs=3
Data Analyst,MakeSpace,New York State,https://www.indeed.com/rc/clk?jk=93a629463abf4b32&fccid=83d34efd4026533f&vjs=3
Software or Systems Engineers - FMS,Performance,"Endicott, NY",https://www.indeed.com/rc/clk?jk=d6dfe730dc8a5c76&fccid=74033d9ad24cc449&vjs=3
"Systems Engineer Intern, Virtualization",Facebook,"New York, NY",https://www.indeed.com/rc/clk?jk=6a505398a0fbf470&fccid=1639254ea84748b5&vjs=3
JUNIOR SOFTWARE DEVELOPER,Fundamental Interactions,"New York, NY",https://www.indeed.com/rc/clk?jk=5818da0abdfd4009&fccid=68f538a67e970465&vjs=3
Data Scientist,Northwestern Mutual,"New York, NY",https://www.indeed.com/rc/clk?jk=dfd465e50d0199e6&fccid=f2cbb7715eae48aa&vjs=3
"Data Analyst, Retail Media",Criteo,"New York, NY",https://www.indeed.com/rc/clk?jk=0758c833605f6da1&fccid=d3ee4a7355a0fb60&vjs=3
Data Analyst (Reporting),Cedar Inc,"New York, NY",https://www.indeed.com/rc/clk?jk=3dcccdd45dd1deab&fccid=674ea8c64db67a21&vjs=3
Lead Python Spark Developer,TTS Solutions Inc,"Buffalo, NY",https://www.indeed.com/company/TTS-Solutions-Inc/jobs/Lead-Python-Spark-Developer-1727760b4b363d5e?fccid=012a0d5734a3318c&vjs=3
Content Contributor : Computer Science Catalog,Codecademy,New York State,https://www.indeed.com/rc/clk?jk=e66f0a2e65652d0c&fccid=b9d4e9eceb3ff4c0&vjs=3
Software Engineer,Warner Bros. Entertainment Group,"Troy, NY",https://www.indeed.com/rc/clk?jk=01875fb209f3ec64&fccid=30cc7a5451d4ee77&vjs=3
Software Developers,BroadPeak Partners,"New York, NY",https://www.indeed.com/rc/clk?jk=9fae9b76a59c1628&fccid=6b913ceed2c005b7&vjs=3
Virtual HBO Max Data Science Intern – Summer 2021,Turner,"New York, NY",https://www.indeed.com/rc/clk?jk=d4c71150d8f1b53f&fccid=92b6ad9b1bd886b6&vjs=3
Data Analyst,Known,"New York, NY",https://www.indeed.com/rc/clk?jk=b43ff8f89f46185c&fccid=428c548e40d4ce2e&vjs=3
Data Engineer,Syeta Inc,"New York, NY",https://www.indeed.com/company/Syeta-Inc/jobs/Data-Engineer-90108f285cfe9271?fccid=240ea250e7459480&vjs=3
Internship - Fixed Income Trading,Société Générale,"New York, NY",https://www.indeed.com/rc/clk?jk=9b850c3cb2d1b97a&fccid=df6948c9b8da6236&vjs=3
Analytical Linguist,"Grammarly, Inc.","New York, NY",https://www.indeed.com/rc/clk?jk=f532f02241cd3f67&fccid=0555014e7bce64c3&vjs=3
Analytics Engineer,Starry,New York State,https://www.indeed.com/rc/clk?jk=24013d931ee97f0d&fccid=c9a652d12a93e3c1&vjs=3
Analytics Engineer,Starry,New York State,https://www.indeed.com/rc/clk?jk=24013d931ee97f0d&fccid=c9a652d12a93e3c1&vjs=3
Data Analyst,University of Rochester,"Rochester, NY",https://www.indeed.com/rc/clk?jk=0f93c6aff22d6c1f&fccid=92278e592a11e3a5&vjs=3
Senior Marketing Data Analyst,Death Wish Coffee Company,"Saratoga Springs, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ABRsrzZfHR_tJ7iVR_5JM-JC4TK5Z5a_VaZZSqWakO0xWTFa2a84EYC7D-fKBd0XBdnwudKka6dD4uF9yaZAulbkZZILciT--Nu1Tld2RDjnDqr3DrP0uj6ehvuPZs3Gq2MHiXEDROxIGPxNKje1RTIRWCf2sIOycIyMIeikaXDjDJSV7XbbpydrpitTlbcL56D4u7LLALe-GHjWTn8bVldGHlTV_GLNojk6EljbeIz4U1LkIyzBt6873dpA8Fw2s5WyOitb5wngMWEjBP8zhA4g5jrjAJTQHGiW4WTIdQ1oyDDuiPmzeuBNTPPJJcLI3hSMNEKaovSJDVQFALFCPNsQUPWQHAsFtwpZ1voXhAzTLqcvpyhjAWgDU61-rPD6fozEPUMKeArjjQM4v_m49JK0fHkywOeXCwln0wjsypZenSLSGYUlNcilTUxGLZ8YMdiXGNOTFp1VF_SFZnQqeG&p=2&fvj=1&vjs=3
"Data Scientist, Analytics, Intern",Facebook,"New York, NY",https://www.indeed.com/rc/clk?jk=98a322346006c891&fccid=1639254ea84748b5&vjs=3
Associate,Better Mortgage Corporation,"New York, NY",https://www.indeed.com/rc/clk?jk=488562ac320399c0&fccid=38428bc0dc4a9166&vjs=3
Research Engineer -CFD/Methods,General Electric,"Niskayuna, NY",https://www.indeed.com/rc/clk?jk=300feb537e9e0c73&fccid=c5c99ec01e2125aa&vjs=3
Director of Behavioral Science,Crowdskout,New York State,https://www.indeed.com/rc/clk?jk=3dcc7a1074854772&fccid=09ecd174e9740b94&vjs=3
Python Engineer,Millennium Management LLC,"New York, NY",https://www.indeed.com/rc/clk?jk=02aa57266f1a0d50&fccid=548e0909717a6ddf&vjs=3
Python Engineer,YouGov,"New York, NY",https://www.indeed.com/rc/clk?jk=544d5e3bf3d32fe1&fccid=e932e178c92b46f5&vjs=3
"Technology Tutor - Data Analytics (Remote, US)",Trilogy Education,New York State,https://www.indeed.com/rc/clk?jk=9b41bd64c9d991a7&fccid=44e83bef98759943&vjs=3
